block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-19,lion,lion_2.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it roar?
-1,-18,alligator,alligator_4.wav,mask,visual,yes,visual-yes,3,Does it have scales?
-1,-17,mouse,mouse_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it a rodent?
-1,-16,elephant,elephant_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
-1,-15,giraffe,giraffe_2.wav,mask,visual,yes,visual-yes,4,Is it brown?
-1,-14,strawberry,strawberry_1.wav,mask,visual,yes,visual-yes,3,Does it have green leaves?
-1,-13,chicken,chicken_3.wav,nomask,visual,yes,visual-yes,4,Does it have legs?
-1,-12,pig,pig_4.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it eaten as bacon?
-1,-11,swan,swan_2.wav,mask,visual,yes,visual-yes,3,Does it have feathers?
-1,-10,apple,apple_1.wav,nomask,visual,yes,visual-yes,1,Is it red?
-1,-9,rabbit,rabbit_1.wav,nomask,visual,yes,visual-yes,3,Does it have whiskers?
-1,-8,pineapple,pineapple_3.wav,mask,visual,yes,visual-yes,1,Is it yellow?
-1,-7,grasshopper,grasshopper_4.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it fly?
-1,-6,zebra,zebra_3.wav,mask,nonvisual,no,nonvisual-no,3,Is it eaten by rabbits?
-1,-5,raccoon,raccoon_4.wav,mask,visual,yes,visual-yes,5,Does it have a mask?
-1,-4,penguin,penguin_1.wav,nomask,visual,yes,visual-yes,1,Is it black?
-1,-3,donkey,donkey_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
-1,-2,chair,chair_2.wav,mask,visual,yes,visual-yes,2,Is it made of wood?
-1,-1,table,table_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it used for eating on?
0,0,donkey,donkey_3.wav,mask,visual,yes,visual-yes,3,Does it have a tail?
0,1,pineapple,pineapple_3.wav,mask,visual,yes,visual-yes,2,Does it have an inside?
0,2,chicken,chicken_4.wav,mask,visual,no,visual-no,3,Does it have hooves?
0,3,pineapple,pineapple_2.wav,nomask,visual,no,visual-no,2,Does it have a seat?
0,4,apple,apple_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it used for cider?
0,5,rabbit,rabbit_3.wav,mask,visual,yes,visual-yes,4,Does it have a tail?
