"subj_id","block_ix","trial_ix","cue","question","question_id","mask_type","mask_c","feat_type","feat_c","truth_coded","truth_normed","truth","truth_c","imagery_mean","imagery_z","facts_mean","facts_z","diff_mean","diff_z","prop_visual","senses_mean","response","rt","is_correct","is_error"
"MWPF101",0,0,"apple","Does it have seeds?","apple:visual:yes:3","mask",0.5,"visual",0.5,"yes","yes","yes",0.5,1,-0.664262733764561,1.5,0.734460367031411,-1.66666666666667,-0.450024870735702,0.235294117647059,2,"yes",817.914534709,1,0
"MWPF101",0,1,"alligator","Is it long?","alligator:visual:yes:2","nomask",-0.5,"visual",0.5,"yes","yes","yes",0.5,2.25,1.28039274854583,1.5,0.734460367031411,-1.75,-0.637824614211998,0.571428571428571,3.33333333333333,"yes",974.268924503,1,0
"MWPF101",0,2,"giraffe","Does it live in zoos?","giraffe:nonvisual:yes:3","nomask",-0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,1.42857142857143,0.00247628874185779,0.571428571428571,-0.685707041291378,-1.85714285714286,-0.879281427252951,0.5,1.5,"yes",948.636701971,1,0
"MWPF101",0,3,"chair","Is it found at tables?","chair:nonvisual:yes:5","nomask",-0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,2.16666666666667,1.15074904972513,0.333333333333333,-1.04985253060491,-1.66666666666667,-0.450024870735702,0.466666666666667,3,"yes",1640.65081824,1,0
"MWPF101",0,4,"mouse","Is it an animal?","mouse:nonvisual:yes:2","mask",0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,0.833333333333333,-0.923550131405946,0.666666666666667,-0.540048845565964,-1,1.05237307707467,0.470588235294118,2,"yes",582.540417614,1,0
"MWPF101",0,5,"chair","Does it have legs?","chair:visual:yes:1","nomask",-0.5,"visual",0.5,"yes","yes","yes",0.5,1.7,0.424744336329256,0.8,-0.336127371550384,-1.5,-0.0744253837831102,0.466666666666667,1.5,"yes",1154.190648,1,0
"MWPF101",0,6,"pig","Is it pink?","pig:visual:yes:1","nomask",-0.5,"visual",0.5,"yes","yes","yes",0.5,1.71428571428571,0.446968970412804,0.571428571428571,-0.685707041291378,-1.28571428571429,0.408488242298794,0.578947368421053,1,"yes",624.450319854,1,0
"MWPF101",0,7,"dog","Is it a pet?","dog:nonvisual:yes:3","nomask",-0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,0.666666666666667,-1.18283752904733,0,-1.55965621564386,-1.83333333333333,-0.825624357688294,0.642857142857143,1,"yes",738.814584329,1,0
"MWPF101",0,8,"tiger","Is it an animal?","tiger:nonvisual:yes:2","mask",0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,1,-0.664262733764561,1,-0.0302451605270142,-2,-1.20122384464089,0.473684210526316,2,"yes",948.466370581,1,0
"MWPF101",0,9,"rabbit","Does it have a tail?","rabbit:visual:yes:4","nomask",-0.5,"visual",0.5,"yes","yes","yes",0.5,1.625,0.308065007390633,0.875,-0.22142154241662,-1.625,-0.356124998997554,0.666666666666667,1.5,"yes",1388.76101357,1,0
"MWPF101",0,10,"mouse","Does it have fur?","mouse:visual:yes:3","mask",0.5,"visual",0.5,"yes","yes","yes",0.5,2.57142857142857,1.78044701542564,2.14285714285714,1.71765318817796,-1.57142857142857,-0.235396592477078,0.470588235294118,1,"yes",773.29757897,1,0
"MWPF101",0,11,"alligator","Is it green?","alligator:visual:yes:1","nomask",-0.5,"visual",0.5,"yes","","yes",0.5,1,-0.664262733764561,0.75,-0.412597924306227,-1.5,-0.0744253837831102,0.571428571428571,2,"yes",965.198774531,1,0
"MWPF101",0,12,"camel","Does it live in the desert?","camel:nonvisual:yes:1","nomask",-0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,1.375,-0.0808660890714446,1.375,0.543283985141805,-1.625,-0.356124998997554,0.461538461538462,2.25,"yes",823.100899288,1,0
"MWPF101",0,13,"strawberry","Is it furniture?","strawberry:nonvisual:no:3","mask",0.5,"nonvisual",-0.5,"no","no","no",-0.5,0.4,-1.59769736527355,0.4,-0.947891793597124,-1.8,-0.750504460297776,0.125,1.5,"no",865.486436989,1,0
"MWPF101",0,14,"dog","Does it have hair?","dog:visual:yes:4","mask",0.5,"visual",0.5,"yes","yes","yes",0.5,2,0.89146165208375,1,-0.0302451605270142,-1.8,-0.750504460297776,0.642857142857143,2.4,"yes",1030.58248037,1,0
"MWPF101",0,15,"donkey","Is it an animal?","donkey:nonvisual:yes:1","mask",0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,2,0.89146165208375,2.33333333333333,2.00896957962879,-1.66666666666667,-0.450024870735702,0.5,1,"yes",1552.97118129,1,0
