subj_id,seed,experimenter,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
PV146,146,XL,2016_Apr_06_1058,LL-George,0,practice,1,does-it-eat-leaves:jacket,nonvisual,Does it eat leaves?,jacket,jacket_4.wav,nomask,no,no,1206.68693678,1
PV146,146,XL,2016_Apr_06_1058,LL-George,0,practice,2,does-it-taste-good:strawberry,nonvisual,Does it taste good?,strawberry,strawberry_4.wav,mask,yes,yes,1165.04930519,1
PV146,146,XL,2016_Apr_06_1058,LL-George,0,practice,3,is-it-used-for-sitting-on:tiger,nonvisual,Is it used for sitting on?,tiger,tiger_2.wav,mask,no,no,923.543614335,1
PV146,146,XL,2016_Apr_06_1058,LL-George,0,practice,4,is-it-an-animal:mouse,nonvisual,Is it an animal?,mouse,mouse_3.wav,mask,yes,yes,840.044607874,1
PV146,146,XL,2016_Apr_06_1058,LL-George,0,practice,5,does-it-drink-water:camel,nonvisual,Does it drink water?,camel,camel_3.wav,nomask,yes,yes,831.747233868,1
PV146,146,XL,2016_Apr_06_1058,LL-George,0,practice,6,does-it-have-a-tail:lion,visual,Does it have a tail?,lion,lion_4.wav,nomask,yes,yes,781.712359982,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,8,is-it-a-mammal:bike,nonvisual,Is it a mammal?,bike,bike_3.wav,nomask,no,no,881.750098662,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,9,is-it-smelly:pig,nonvisual,Is it smelly?,pig,pig_2.wav,nomask,yes,yes,898.35732989,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,10,is-it-a-fruit:strawberry,nonvisual,Is it a fruit?,strawberry,strawberry_4.wav,nomask,yes,yes,1106.70745466,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,11,does-it-have-feet:bike,visual,Does it have feet?,bike,bike_4.wav,mask,no,yes,731.690289918,0
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,12,is-it-an-animal:bottle,nonvisual,Is it an animal?,bottle,bottle_1.wav,mask,no,no,856.710095424,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,13,does-it-have-a-beak:apple,visual,Does it have a beak?,apple,apple_2.wav,mask,no,no,815.075024264,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,14,does-it-have-ears:strawberry,visual,Does it have ears?,strawberry,strawberry_2.wav,nomask,no,no,781.736046774,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,15,is-it-furry:donkey,nonvisual,Is it furry?,donkey,donkey_1.wav,mask,yes,yes,1098.32653729,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,16,is-it-red:zebra,visual,Is it red?,zebra,zebra_4.wav,nomask,no,no,739.970378811,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,17,does-it-eat-leaves:giraffe,nonvisual,Does it eat leaves?,giraffe,giraffe_4.wav,nomask,yes,yes,917.387002613,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,18,does-it-have-wings:swan,visual,Does it have wings?,swan,swan_1.wav,mask,yes,yes,1123.34989593,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,19,is-it-a-bird:camel,nonvisual,Is it a bird?,camel,camel_2.wav,nomask,no,no,864.996266086,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,20,is-it-an-animal:chair,nonvisual,Is it an animal?,chair,chair_3.wav,nomask,no,no,848.355425289,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,21,does-it-have-a-snout:pig,visual,Does it have a snout?,pig,pig_3.wav,nomask,yes,yes,706.735430751,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,22,is-it-green:giraffe,visual,Is it green?,giraffe,giraffe_1.wav,mask,no,no,815.025730524,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,23,does-it-grow-in-tropical-climates:banana,nonvisual,Does it grow in tropical climates?,banana,banana_4.wav,nomask,yes,yes,731.691250112,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,24,does-it-have-legs:pineapple,visual,Does it have legs?,pineapple,pineapple_2.wav,mask,no,no,831.741792383,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,25,is-it-red:penguin,visual,Is it red?,penguin,penguin_2.wav,mask,no,no,1054.70658769,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,26,does-it-require-a-conductor:grasshopper,nonvisual,Does it require a conductor?,grasshopper,grasshopper_2.wav,nomask,no,no,782.049735077,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,27,does-it-have-whiskers:pineapple,visual,Does it have whiskers?,pineapple,pineapple_2.wav,nomask,no,no,698.416610714,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,28,is-it-eaten-as-bacon:dog,nonvisual,Is it eaten as bacon?,dog,dog_1.wav,mask,no,no,698.41597043,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,29,does-it-have-hooves:chicken,visual,Does it have hooves?,chicken,chicken_1.wav,nomask,no,no,989.912042394,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,30,does-it-have-pockets:apple,visual,Does it have pockets?,apple,apple_4.wav,mask,no,no,640.041150851,1
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,31,does-it-have-hooves:elephant,visual,Does it have hooves?,elephant,elephant_1.wav,nomask,no,yes,1065.29260543,0
PV146,146,XL,2016_Apr_06_1058,LL-George,1,test,32,does-it-have-a-beak:raccoon,visual,Does it have a beak?,raccoon,raccoon_2.wav,mask,no,no,815.020608949,1
