subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
MWPR117,117,2016_Jan_28_0926,LL-Kramer,0,practice,0,does-it-fly:bottle,nonvisual,Does it fly?,bottle,bottle_4.wav,nomask,no,no,713.613666478,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,0,practice,1,is-it-a-carnivore:tiger,nonvisual,Is it a carnivore?,tiger,tiger_2.wav,mask,yes,yes,381.182341385,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,0,practice,2,is-it-made-of-glass:pig,visual,Is it made of glass?,pig,pig_2.wav,nomask,no,no,538.76746881,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,0,practice,3,is-it-an-animal:alligator,nonvisual,Is it an animal?,alligator,alligator_2.wav,nomask,yes,yes,101.787371881,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,0,practice,4,is-it-red:apple,visual,Is it red?,apple,apple_4.wav,mask,yes,yes,126.914926979,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,0,practice,5,does-it-have-a-beak:train,visual,Does it have a beak?,train,train_4.wav,mask,no,no,399.864602732,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,0,practice,6,does-it-live-in-india:pig,nonvisual,Does it live in India?,pig,pig_2.wav,nomask,no,no,709.505655963,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,0,practice,7,does-it-have-stripes:tiger,visual,Does it have stripes?,tiger,tiger_2.wav,mask,yes,yes,437.664445257,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,9,is-it-made-of-wood:table,visual,Is it made of wood?,table,table_1.wav,mask,yes,yes,314.673798232,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,10,is-it-beige:elephant,visual,Is it beige?,elephant,elephant_1.wav,nomask,no,no,408.991914563,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,11,does-it-like-mud:pig,nonvisual,Does it like mud?,pig,pig_4.wav,mask,yes,yes,182.411799717,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,12,is-it-found-in-summer:grasshopper,nonvisual,Is it found in summer?,grasshopper,grasshopper_3.wav,nomask,yes,yes,137.521685974,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,13,does-it-have-wings:chicken,visual,Does it have wings?,chicken,chicken_3.wav,nomask,yes,yes,455.091001044,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,14,does-it-have-handle-bars:bike,visual,Does it have handle bars?,bike,bike_4.wav,mask,yes,yes,28.6597271479,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,15,does-it-have-stripes:raccoon,visual,Does it have stripes?,raccoon,raccoon_4.wav,nomask,yes,yes,475.223581525,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,16,does-it-have-seeds:strawberry,visual,Does it have seeds?,strawberry,strawberry_2.wav,nomask,yes,yes,266.859679788,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,17,does-it-have-eyes:deer,visual,Does it have eyes?,deer,deer_2.wav,mask,yes,yes,256.071430864,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,18,is-it-beige:camel,visual,Is it beige?,camel,camel_1.wav,nomask,yes,yes,784.433796187,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,19,does-it-have-handle-bars:toad,visual,Does it have handle bars?,toad,toad_1.wav,nomask,no,no,343.593757003,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,20,does-it-have-green-leaves:strawberry,visual,Does it have green leaves?,strawberry,strawberry_4.wav,nomask,yes,yes,140.94566826,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,21,does-it-have-a-zipper:train,visual,Does it have a zipper?,train,train_4.wav,nomask,no,no,294.138867015,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,22,does-it-have-a-beak:penguin,visual,Does it have a beak?,penguin,penguin_1.wav,mask,yes,yes,811.367928458,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,23,does-it-bark:dog,nonvisual,Does it bark?,dog,dog_4.wav,mask,yes,yes,211.876548434,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,24,does-it-have-a-core:apple,visual,Does it have a core?,apple,apple_3.wav,nomask,yes,yes,153.962370445,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,25,is-it-found-in-summer:alligator,nonvisual,Is it found in summer?,alligator,alligator_1.wav,mask,yes,yes,482.348102189,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,26,is-it-a-pet:rabbit,nonvisual,Is it a pet?,rabbit,rabbit_2.wav,mask,yes,yes,418.577912642,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,27,is-it-graceful:camel,nonvisual,Is it graceful?,camel,camel_4.wav,mask,no,no,591.922257008,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,28,is-it-nutritious:apple,nonvisual,Is it nutritious?,apple,apple_4.wav,mask,yes,yes,272.839885525,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,29,is-it-worn-in-winter:jacket,nonvisual,Is it worn in winter?,jacket,jacket_1.wav,nomask,yes,yes,71.3665200747,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,30,does-it-have-a-tail:lion,visual,Does it have a tail?,lion,lion_1.wav,nomask,yes,yes,788.510758168,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,31,does-it-live-in-africa:elephant,nonvisual,Does it live in Africa?,elephant,elephant_1.wav,mask,yes,yes,330.632109952,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,32,is-it-used-for-racing:bike,nonvisual,Is it used for racing?,bike,bike_4.wav,mask,yes,yes,824.523548887,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,33,is-it-furry:donkey,nonvisual,Is it furry?,donkey,donkey_3.wav,mask,yes,yes,553.414699723,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,34,does-it-eat:camel,nonvisual,Does it eat?,camel,camel_4.wav,mask,yes,yes,398.672274605,1
MWPR117,117,2016_Jan_28_0926,LL-Kramer,1,test,35,does-it-live-in-zoos:giraffe,nonvisual,Does it live in zoos?,giraffe,giraffe_2.wav,mask,yes,yes,223.852964336,1
