subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,0,practice,0,is-it-eaten-as-bacon:pig,nonvisual,Is it eaten as bacon?,pig,pig_3.wav,nomask,yes,yes,536.208860698,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,0,practice,1,does-it-have-a-core:pineapple,visual,Does it have a core?,pineapple,pineapple_2.wav,mask,yes,yes,625.097187647,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,0,practice,2,does-it-have-a-white-tail:mouse,visual,Does it have a white tail?,mouse,mouse_2.wav,mask,yes,no,740.506019152,0
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,0,practice,3,does-it-eat-grain:chicken,nonvisual,Does it eat grain?,chicken,chicken_1.wav,nomask,yes,yes,561.847194291,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,0,practice,4,is-it-long:alligator,visual,Is it long?,alligator,alligator_4.wav,nomask,yes,yes,102.539250367,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,0,practice,5,does-it-live-in-africa:zebra,nonvisual,Does it live in Africa?,zebra,zebra_3.wav,nomask,yes,timeout,2000.0,0
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,0,practice,6,does-it-have-a-mane:lion,visual,Does it have a mane?,lion,lion_2.wav,mask,yes,yes,329.171082589,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,0,practice,7,is-it-a-fruit:strawberry,nonvisual,Is it a fruit?,strawberry,strawberry_3.wav,nomask,yes,yes,223.981478252,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,9,is-it-an-animal:lion,nonvisual,Is it an animal?,lion,lion_2.wav,nomask,yes,yes,391.964626097,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,10,is-it-healthy:banana,nonvisual,Is it healthy?,banana,banana_4.wav,mask,yes,yes,74.4551009866,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,11,does-it-have-whiskers:tiger,visual,Does it have whiskers?,tiger,tiger_4.wav,mask,yes,yes,261.174779,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,12,does-it-have-a-tail:rabbit,visual,Does it have a tail?,rabbit,rabbit_4.wav,mask,yes,yes,107.226343751,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,13,is-it-muddy:pig,visual,Is it muddy?,pig,pig_4.wav,mask,yes,yes,568.020470464,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,14,does-it-have-handle-bars:bike,visual,Does it have handle bars?,bike,bike_2.wav,nomask,yes,yes,118.961522174,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,15,is-it-eaten-in-pies:apple,nonvisual,Is it eaten in pies?,apple,apple_3.wav,nomask,yes,yes,292.977746309,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,16,is-it-smelly:deer,nonvisual,Is it smelly?,deer,deer_1.wav,mask,no,no,276.400550429,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,17,is-it-an-animal:tiger,nonvisual,Is it an animal?,tiger,tiger_2.wav,mask,yes,yes,172.676643051,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,18,does-it-have-fur:mouse,visual,Does it have fur?,mouse,mouse_1.wav,nomask,yes,yes,145.773629682,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,19,does-it-have-a-tail:banana,visual,Does it have a tail?,banana,banana_4.wav,mask,no,no,284.202449913,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,20,is-it-muddy:giraffe,visual,Is it muddy?,giraffe,giraffe_1.wav,nomask,no,no,198.213187687,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,21,is-it-green:train,visual,Is it green?,train,train_1.wav,nomask,no,no,566.309903843,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,22,does-it-have-green-leaves:camel,visual,Does it have green leaves?,camel,camel_2.wav,mask,no,no,204.966468862,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,23,is-it-used-for-transportation:mouse,nonvisual,Is it used for transportation?,mouse,mouse_1.wav,mask,no,no,369.852095524,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,24,is-it-made-of-wood:table,visual,Is it made of wood?,table,table_3.wav,mask,yes,yes,215.715766823,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,25,does-it-live-in-zoos:rabbit,nonvisual,Does it live in zoos?,rabbit,rabbit_1.wav,nomask,no,yes,282.754678052,0
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,26,does-it-produce-offspring:raccoon,nonvisual,Does it produce offspring?,raccoon,raccoon_3.wav,mask,yes,yes,273.139782807,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,27,does-it-taste-sweet:strawberry,nonvisual,Does it taste sweet?,strawberry,strawberry_4.wav,mask,yes,yes,286.868168258,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,28,is-it-yellow:banana,visual,Is it yellow?,banana,banana_3.wav,nomask,yes,yes,93.5088413953,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,29,is-it-tall:giraffe,visual,Is it tall?,giraffe,giraffe_1.wav,nomask,yes,yes,104.916566665,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,30,is-it-used-in-circuses:elephant,nonvisual,Is it used in circuses?,elephant,elephant_4.wav,mask,yes,yes,162.674437624,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,31,is-it-a-mammal:camel,nonvisual,Is it a mammal?,camel,camel_2.wav,nomask,yes,yes,409.704072614,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,32,does-it-live-on-water:swan,nonvisual,Does it live on water?,swan,swan_4.wav,nomask,yes,yes,250.376187018,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,33,is-it-orange:carrot,visual,Is it orange?,carrot,carrot_4.wav,mask,yes,yes,275.812543152,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,34,is-it-used-for-holding-liquids:bottle,nonvisual,Is it used for holding liquids?,bottle,bottle_2.wav,nomask,yes,yes,114.48312816,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,35,is-it-used-for-relaxing:chair,nonvisual,Is it used for relaxing?,chair,chair_2.wav,mask,yes,yes,113.548142175,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,36,does-it-have-whiskers:toad,visual,Does it have whiskers?,toad,toad_2.wav,mask,no,no,116.535552035,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,37,does-it-live-on-farms:pig,nonvisual,Does it live on farms?,pig,pig_1.wav,mask,yes,yes,239.956582847,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,38,is-it-used-for-relaxing:tiger,nonvisual,Is it used for relaxing?,tiger,tiger_3.wav,nomask,no,no,179.311490532,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,39,does-it-lay-eggs:penguin,nonvisual,Does it lay eggs?,penguin,penguin_2.wav,nomask,yes,yes,288.693967659,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,40,is-it-a-mammal:deer,nonvisual,Is it a mammal?,deer,deer_2.wav,nomask,yes,yes,229.713989034,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,41,is-it-a-container:bottle,nonvisual,Is it a container?,bottle,bottle_4.wav,mask,yes,yes,110.768471415,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,42,does-it-have-a-tail:raccoon,visual,Does it have a tail?,raccoon,raccoon_4.wav,nomask,yes,yes,165.416337639,1
MWPR107,107,2016_Jan_27_1216,LL-ELAINE,1,test,43,does-it-lay-eggs:chicken,nonvisual,Does it lay eggs?,chicken,chicken_4.wav,nomask,yes,yes,199.830927902,1
