,cue,ftype,qid,question,truth_coded,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max,imagery_z,facts_z,difficulty_z,truth_normed,truth_agree,prop_visual
0,alligator,nonvisual,1,Is it an animal?,yes,5.0,2.0,0.0,2.0,2.0,1.2,0.8366600265340756,0.0,2.0,-2.0,0.0,-2.0,-2.0,0.6,0.5477225575051661,0.0,1.0,-0.35311785659489914,-0.6420095825737541,-1.2012238446408865,yes,1.0,0.5714285714285714
1,alligator,nonvisual,2,Is it a reptile?,yes,7.0,2.0,0.0,2.0,2.0,1.5714285714285714,1.3972762620115438,0.0,4.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,2.4285714285714284,1.1338934190276817,1.0,4.0,0.22472262957733072,2.1546277753542,-0.5573390098650141,yes,1.0,0.5714285714285714
2,alligator,nonvisual,3,Does it live in swamps?,yes,3.0,1.3333333333333333,0.5773502691896258,1.0,2.0,1.3333333333333333,0.5773502691896258,1.0,2.0,-1.3333333333333333,0.5773502691896258,-2.0,-1.0,1.6666666666666667,1.5275252316519463,0.0,3.0,-0.14568793848179104,0.9893622095508858,0.3011741031694821,yes,1.0,0.5714285714285714
3,alligator,nonvisual,4,Does it live in water?,yes,6.0,1.6666666666666667,0.8164965809277259,0.0,2.0,2.333333333333333,1.3662601021279466,0.0,4.0,-1.1666666666666667,1.1690451944500122,-2.0,1.0,2.1666666666666665,1.3291601358251257,0.0,4.0,1.4100364473665203,1.7540677371093103,0.6767735901220738,yes,1.0,0.5714285714285714
4,alligator,nonvisual,5,Does it eat people?,yes,5.0,1.2,1.095445115010332,0.0,2.0,2.4,1.51657508881031,1.0,4.0,-1.2,1.095445115010332,-2.0,0.0,3.0,1.224744871391589,1.0,4.0,1.5137514064230742,3.028576949706685,0.6016536927315557,yes,1.0,0.5714285714285714
5,alligator,visual,1,Is it green?,yes,4.0,0.0,1.4142135623730951,-2.0,1.0,1.0,0.8164965809277259,0.0,2.0,-1.5,0.5773502691896257,-2.0,-1.0,0.75,0.957427107756338,0.0,2.0,-0.6642627337645614,-0.4125979243062266,-0.07442538378311019,,,0.5714285714285714
6,alligator,visual,2,Is it long?,yes,4.0,1.5,0.5773502691896257,1.0,2.0,2.25,1.2583057392117916,1.0,4.0,-1.75,0.5,-2.0,-1.0,1.5,1.7320508075688772,0.0,4.0,1.2803927485458275,0.7344603670314107,-0.6378246142119983,yes,1.0,0.5714285714285714
7,alligator,visual,3,Does it have scales?,yes,5.0,0.8,1.7888543819998317,-2.0,2.0,0.8,1.3038404810405295,0.0,3.0,-1.6,0.8944271909999157,-2.0,0.0,2.2,1.6431676725154984,0.0,4.0,-0.9754076109342236,1.8050481056132055,-0.29978507595466564,yes,1.0,0.5714285714285714
8,alligator,visual,4,Does it have a tail?,yes,6.0,1.3333333333333333,1.6329931618554518,-2.0,2.0,1.1666666666666667,0.9831920802501752,0.0,2.0,-1.8333333333333333,0.4082482904638627,-2.0,-1.0,0.5,0.8366600265340756,0.0,2.0,-0.404975336123176,-0.794950688085439,-0.8256243576882942,yes,1.0,0.5714285714285714
9,alligator,visual,5,Does it have jaws?,yes,3.0,1.6666666666666667,0.5773502691896255,1.0,2.0,1.6666666666666667,1.1547005383792517,1.0,3.0,-1.3333333333333333,1.1547005383792517,-2.0,0.0,1.3333333333333333,1.5275252316519468,0.0,3.0,0.3728868568009796,0.4795585245119357,0.3011741031694821,yes,1.0,0.5714285714285714
