block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-20,strawberry,strawberry_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it taste sweet?
-1,-19,lion,lion_2.wav,mask,visual,no,visual-no,3,Does it have wings?
-1,-18,swan,swan_3.wav,mask,visual,no,visual-no,4,Is it made of wood?
-1,-17,camel,camel_3.wav,mask,visual,no,visual-no,2,Does it have seeds?
-1,-16,zebra,zebra_4.wav,nomask,nonvisual,no,nonvisual-no,1,Does it eat garbage?
-1,-15,table,table_2.wav,mask,nonvisual,no,nonvisual-no,1,Is it an animal?
-1,-14,deer,deer_4.wav,mask,visual,yes,visual-yes,3,Does it have eyes?
-1,-13,elephant,elephant_3.wav,nomask,visual,yes,visual-yes,2,Does it have ears?
-1,-12,alligator,alligator_4.wav,nomask,visual,no,visual-no,3,Is it round?
-1,-11,pineapple,pineapple_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it tropical?
-1,-10,apple,apple_2.wav,mask,visual,yes,visual-yes,3,Does it have seeds?
-1,-9,mouse,mouse_4.wav,nomask,visual,yes,visual-yes,4,Does it have whiskers?
-1,-8,rabbit,rabbit_1.wav,nomask,visual,yes,visual-yes,2,Does it have feet?
-1,-7,grasshopper,grasshopper_3.wav,nomask,nonvisual,no,nonvisual-no,4,Does it fly?
-1,-6,chicken,chicken_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it eaten by frying?
-1,-5,bottle,bottle_3.wav,mask,visual,yes,visual-yes,1,Is it made of glass?
-1,-4,raccoon,raccoon_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it furry?
-1,-3,penguin,penguin_1.wav,mask,visual,no,visual-no,4,Is it long?
-1,-2,pig,pig_4.wav,nomask,visual,yes,visual-yes,5,Is it muddy?
-1,-1,tiger,tiger_1.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it live in India?
0,0,apple,apple_2.wav,mask,visual,no,visual-no,5,Does it have eyes?
0,1,zebra,zebra_2.wav,mask,visual,yes,visual-yes,4,Does it have a mane?
0,2,strawberry,strawberry_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it taste sweet?
0,3,tiger,tiger_2.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it live in zoos?
0,4,bottle,bottle_4.wav,nomask,nonvisual,no,nonvisual-no,2,Is it juicy?
0,5,rabbit,rabbit_4.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it hunted by people?
0,6,mouse,mouse_3.wav,mask,visual,yes,visual-yes,4,Does it have a white tail?
0,7,bottle,bottle_1.wav,nomask,visual,yes,visual-yes,4,Does it have a neck?
0,8,rabbit,rabbit_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it a pet?
0,9,table,table_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it furniture?
0,10,mouse,mouse_2.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it eat cheese?
0,11,chicken,chicken_3.wav,nomask,visual,yes,visual-yes,2,Does it have wings?
0,12,alligator,alligator_4.wav,mask,visual,yes,visual-yes,1,Does it have a long tongue?
0,13,elephant,elephant_3.wav,mask,visual,yes,visual-yes,3,Does it have four legs?
0,14,lion,lion_2.wav,mask,visual,no,visual-no,3,Does it have wings?
0,15,chicken,chicken_2.wav,nomask,visual,no,visual-no,3,Does it have hooves?
0,16,tiger,tiger_3.wav,nomask,nonvisual,no,nonvisual-no,3,Does it grow underground?
0,17,swan,swan_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it lay eggs?
