cue,ftype,qid,question,response
alligator,visual,5,Does it have jaws?,yes
apple,visual,2,Is it green?,yes
apple,visual,2,Does it have pockets?,no
banana,visual,4,Does it have a skin?,yes
banana,nonvisual,3,Does it have different speeds?,no
bike,visual,3,Does it have gears?,yes
bottle,visual,2,Does it have seeds?,no
bottle,visual,5,Does it have teeth?,no
camel,nonvisual,1,Does it live in the desert?,yes
camel,visual,2,Is it brown?,yes
chair,visual,2,Is it made of wood?,yes
chicken,nonvisual,4,Is it eaten by frying?,yes
chicken,nonvisual,5,Does it live in a coop?,yes
chicken,visual,4,Does it have legs?,yes
chicken,visual,4,Does it have four legs?,no
deer,nonvisual,5,Is it timid?,yes
deer,visual,2,Does it have four legs?,yes
dog,visual,4,Does it have a top?,no
donkey,nonvisual,1,Does it lay eggs?,no
donkey,nonvisual,5,Does it eat peanuts?,no
elephant,nonvisual,2,Does it live in Africa?,yes
elephant,visual,1,Is it grey?,yes
elephant,visual,3,Does it have four legs?,yes
elephant,nonvisual,2,Is it a reptile?,no
elephant,nonvisual,3,Does it live on farms?,no
elephant,visual,2,Does it have scales?,no
giraffe,nonvisual,1,Does it eat leaves?,yes
giraffe,visual,3,Is it muddy?,no
grasshopper,visual,2,Does it have teeth?,no
jacket,nonvisual,4,Is it worn for the rain?,yes
jacket,visual,1,Does it have a zipper?,yes
jacket,nonvisual,3,Is it an animal?,no
jacket,nonvisual,4,Does it live in Africa?,no
lion,nonvisual,3,Does it waddle?,no
lion,visual,4,Is it yellow inside?,no
mouse,nonvisual,4,Is it used in experiments?,yes
mouse,visual,4,Does it have whiskers?,yes
penguin,visual,1,Is it black?,yes
penguin,visual,4,Does it have wings?,yes
penguin,nonvisual,2,Is it breakable?,no
penguin,visual,4,Is it long?,no
pig,nonvisual,2,Does it live on farms?,yes
pig,nonvisual,3,Does it live in India?,no
pig,visual,5,Does it have fur?,no
pineapple,nonvisual,2,Is it clothing?,no
rabbit,nonvisual,4,Is it used for making jam?,no
raccoon,nonvisual,2,Is it used for protection?,no
raccoon,nonvisual,4,Does it spit?,no
raccoon,visual,2,Does it have seeds?,no
strawberry,visual,1,Is it red?,yes
swan,nonvisual,2,Is it a bird?,yes
swan,visual,3,Does it have feathers?,yes
swan,nonvisual,4,Does it travel in herds?,no
table,nonvisual,1,Is it used for eating on?,yes
table,nonvisual,4,Does it grow in Hawaii?,no
tiger,nonvisual,1,Is it a carnivore?,yes
tiger,nonvisual,3,Does it live in Africa?,yes
tiger,nonvisual,4,Does it live in zoos?,yes
tiger,nonvisual,3,Does it grow underground?,no
toad,visual,1,Is it green?,yes
toad,nonvisual,1,Does it bark?,no
toad,nonvisual,2,Does it run fast?,no
train,visual,2,Does it have a zipper?,no
train,visual,3,Does it have a beak?,no
zebra,visual,1,Does it have stripes?,yes
zebra,visual,3,Does it have hooves?,yes
zebra,nonvisual,3,Is it eaten by rabbits?,no
zebra,visual,1,Is it red?,no
alligator,nonvisual,3,Does it live in swamps?,yes
alligator,visual,2,Is it long?,yes
alligator,nonvisual,2,Does it live in the desert?,no
apple,visual,3,Does it have seeds?,yes
apple,visual,5,Does it have a core?,yes
apple,nonvisual,1,Is it an animal?,no
apple,visual,4,Does it have a hood?,no
banana,nonvisual,4,Is it healthy?,yes
banana,visual,3,Does it have a beak?,no
bike,visual,1,Does it have handle bars?,yes
bike,nonvisual,1,Does it live in Africa?,no
bottle,nonvisual,3,Is it a container?,yes
bottle,visual,2,Is it made of plastic?,yes
camel,nonvisual,4,Is it a mammal?,yes
camel,nonvisual,2,Is it graceful?,no
camel,visual,3,Does it have whiskers?,no
carrot,nonvisual,2,Is it eaten by rabbits?,yes
