subj_id,seed,experimenter,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
PV122,122,DZ,2016_Mar_03_1538,LL-George,0,practice,1,is-it-breakable:bottle,nonvisual,Is it breakable?,bottle,bottle_4.wav,mask,yes,yes,1675.49701524,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,0,practice,2,does-it-have-legs:pineapple,visual,Does it have legs?,pineapple,pineapple_4.wav,nomask,no,no,1241.35940964,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,0,practice,3,does-it-live-on-water:mouse,nonvisual,Does it live on water?,mouse,mouse_4.wav,nomask,no,no,1157.90599026,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,0,practice,4,is-it-used-for-making-jam:rabbit,nonvisual,Is it used for making jam?,rabbit,rabbit_4.wav,mask,no,no,1125.77501079,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,0,practice,5,is-it-fast:apple,nonvisual,Is it fast?,apple,apple_3.wav,nomask,no,no,1057.50748189,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,0,practice,6,does-it-have-sleeves:jacket,visual,Does it have sleeves?,jacket,jacket_3.wav,nomask,yes,yes,1074.52843175,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,8,is-it-loud:deer,nonvisual,Is it loud?,deer,deer_2.wav,nomask,no,no,1458.19598925,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,9,is-it-green:giraffe,visual,Is it green?,giraffe,giraffe_4.wav,nomask,no,no,1024.49690294,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,10,is-it-found-in-kitchens:table,nonvisual,Is it found in kitchens?,table,table_2.wav,mask,yes,yes,1124.53179248,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,11,is-it-brown:camel,visual,Is it brown?,camel,camel_2.wav,nomask,yes,yes,1325.80189803,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,12,does-it-like-mud:penguin,nonvisual,Does it like mud?,penguin,penguin_4.wav,nomask,no,no,1208.28417316,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,13,does-it-have-an-inside:pineapple,visual,Does it have an inside?,pineapple,pineapple_2.wav,nomask,yes,yes,1391.46999991,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,14,does-it-have-eyes:bottle,visual,Does it have eyes?,bottle,bottle_3.wav,nomask,no,no,1224.6502249,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,15,does-it-produce-offspring:raccoon,nonvisual,Does it produce offspring?,raccoon,raccoon_1.wav,nomask,yes,yes,974.324216135,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,16,does-it-have-a-skin:banana,visual,Does it have a skin?,banana,banana_3.wav,mask,yes,yes,1257.897028,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,17,is-it-used-for-sitting-on:chair,nonvisual,Is it used for sitting on?,chair,chair_2.wav,mask,yes,yes,890.925851883,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,18,does-it-have-sleeves:bike,visual,Does it have sleeves?,bike,bike_2.wav,nomask,no,no,740.945857251,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,19,is-it-an-animal:chair,nonvisual,Is it an animal?,chair,chair_4.wav,mask,no,no,891.109901946,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,20,is-it-an-animal:zebra,nonvisual,Is it an animal?,zebra,zebra_1.wav,mask,yes,yes,874.384712661,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,21,does-it-have-hair:dog,visual,Does it have hair?,dog,dog_3.wav,mask,yes,yes,891.069571022,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,22,is-it-large:camel,visual,Is it large?,camel,camel_2.wav,mask,yes,yes,957.787558204,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,23,is-it-an-animal:mouse,nonvisual,Is it an animal?,mouse,mouse_4.wav,mask,yes,yes,841.066529974,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,24,does-it-grow-in-tropical-climates:train,nonvisual,Does it grow in tropical climates?,train,train_2.wav,mask,no,no,957.796520554,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,25,is-it-small:toad,visual,Is it small?,toad,toad_2.wav,mask,yes,yes,1259.71928355,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,26,is-it-round:apple,visual,Is it round?,apple,apple_2.wav,mask,yes,yes,957.773154369,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,27,is-it-used-for-relaxing:tiger,nonvisual,Is it used for relaxing?,tiger,tiger_1.wav,nomask,no,no,974.447449669,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,28,is-it-small:donkey,visual,Is it small?,donkey,donkey_3.wav,nomask,no,no,927.094089566,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,29,does-it-have-a-neck:table,visual,Does it have a neck?,table,table_3.wav,nomask,no,no,1158.02186192,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,30,does-it-grow-on-trees:donkey,nonvisual,Does it grow on trees?,donkey,donkey_2.wav,nomask,no,no,924.409519415,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,31,does-it-waddle:lion,nonvisual,Does it waddle?,lion,lion_1.wav,nomask,no,no,791.119824629,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,32,is-it-black:penguin,visual,Is it black?,penguin,penguin_4.wav,nomask,yes,yes,1124.4322455,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,33,does-it-have-antennae:zebra,visual,Does it have antennae?,zebra,zebra_2.wav,nomask,no,no,974.468895467,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,34,is-it-a-fruit:strawberry,nonvisual,Is it a fruit?,strawberry,strawberry_2.wav,nomask,yes,yes,1207.84117281,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,35,does-it-have-wings:pig,visual,Does it have wings?,pig,pig_3.wav,mask,no,no,957.870460581,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,36,does-it-grow-on-trees:apple,nonvisual,Does it grow on trees?,apple,apple_2.wav,nomask,yes,yes,1441.4720803,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,37,is-it-used-for-relaxing:chair,nonvisual,Is it used for relaxing?,chair,chair_2.wav,nomask,yes,yes,1274.7064,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,38,is-it-eaten-by-rabbits:zebra,nonvisual,Is it eaten by rabbits?,zebra,zebra_1.wav,nomask,no,no,707.600147231,1
PV122,122,DZ,2016_Mar_03_1538,LL-George,1,test,39,is-it-black:apple,visual,Is it black?,apple,apple_3.wav,nomask,no,no,891.057087574,1
