subj_id,seed,experimenter,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,0,practice,1,does-it-live-in-africa:bike,nonvisual,Does it live in Africa?,bike,bike_3.wav,mask,no,no,1265.07678919,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,0,practice,2,is-it-an-animal:alligator,nonvisual,Is it an animal?,alligator,alligator_4.wav,nomask,yes,yes,931.820597034,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,0,practice,3,does-it-have-a-snout:pig,visual,Does it have a snout?,pig,pig_1.wav,nomask,yes,yes,798.432848766,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,0,practice,4,does-it-like-mud:penguin,nonvisual,Does it like mud?,penguin,penguin_1.wav,nomask,no,no,990.080790245,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,0,practice,5,does-it-have-ears:strawberry,visual,Does it have ears?,strawberry,strawberry_2.wav,nomask,no,no,1031.74857725,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,0,practice,6,is-it-pink:dog,visual,Is it pink?,dog,dog_1.wav,nomask,no,no,773.403240601,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,1,test,8,does-it-have-whiskers:toad,visual,Does it have whiskers?,toad,toad_2.wav,nomask,no,no,956.762181013,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,1,test,9,is-it-small:donkey,visual,Is it small?,donkey,donkey_4.wav,mask,no,no,1306.77562463,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,1,test,10,does-it-have-wings:swan,visual,Does it have wings?,swan,swan_2.wav,nomask,yes,yes,1256.78362686,1
PV144,144,NS,2016_Mar_16_1256,LL-Jerry,1,test,11,does-it-have-a-tail:donkey,visual,Does it have a tail?,donkey,donkey_4.wav,nomask,yes,yes,1048.46357717,1
