block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-17,strawberry,strawberry_3.wav,mask,visual,yes,visual-yes,3,Does it have green leaves?
-1,-16,pig,pig_4.wav,mask,visual,yes,visual-yes,2,Does it have a tail?
-1,-15,pineapple,pineapple_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it tropical?
-1,-14,donkey,donkey_1.wav,nomask,visual,yes,visual-yes,4,Does it have hooves?
-1,-13,penguin,penguin_4.wav,nomask,visual,yes,visual-yes,4,Does it have wings?
-1,-12,tiger,tiger_2.wav,mask,visual,yes,visual-yes,3,Is it orange?
-1,-11,dog,dog_4.wav,mask,visual,yes,visual-yes,4,Does it have hair?
-1,-10,elephant,elephant_3.wav,nomask,visual,yes,visual-yes,5,Does it have large ears?
-1,-9,camel,camel_4.wav,nomask,visual,yes,visual-yes,3,Does it have legs?
-1,-8,mouse,mouse_4.wav,mask,visual,yes,visual-yes,4,Does it have whiskers?
-1,-7,deer,deer_1.wav,nomask,visual,yes,visual-yes,2,Does it have four legs?
-1,-6,table,table_2.wav,nomask,visual,no,visual-no,4,Does it have a skin?
-1,-5,alligator,alligator_4.wav,mask,visual,yes,visual-yes,3,Does it have scales?
-1,-4,rabbit,rabbit_3.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it a pet?
-1,-3,giraffe,giraffe_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live in Africa?
-1,-2,raccoon,raccoon_4.wav,mask,visual,yes,visual-yes,3,Does it have eyes?
-1,-1,chair,chair_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it used for sitting on?
0,0,chair,chair_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it comfortable?
0,1,alligator,alligator_1.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it eat people?
0,2,raccoon,raccoon_3.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it produce offspring?
0,3,mouse,mouse_4.wav,nomask,visual,no,visual-no,3,Does it have stripes?
0,4,elephant,elephant_2.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it used in circuses?
0,5,mouse,mouse_2.wav,nomask,visual,no,visual-no,4,Does it have a white tail?
0,6,raccoon,raccoon_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it nocturnal?
0,7,tiger,tiger_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it live in zoos?
0,8,donkey,donkey_3.wav,mask,visual,yes,visual-yes,1,Does it have legs?
0,9,alligator,alligator_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it live in water?
0,10,pineapple,pineapple_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it juicy?
0,11,rabbit,rabbit_2.wav,nomask,visual,no,visual-no,2,Is it made of metal?
0,12,tiger,tiger_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,13,dog,dog_3.wav,nomask,visual,yes,visual-yes,2,Does it have legs?
0,14,rabbit,rabbit_2.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it eat carrots?
0,15,penguin,penguin_2.wav,mask,visual,yes,visual-yes,3,Does it have feet?
0,16,rabbit,rabbit_1.wav,nomask,visual,yes,visual-yes,1,Does it have ears?
0,17,dog,dog_1.wav,nomask,visual,yes,visual-yes,3,Does it have a tail?
