block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-19,penguin,penguin_1.wav,mask,nonvisual,no,nonvisual-no,4,Does it like mud?
-1,-18,grasshopper,grasshopper_3.wav,mask,visual,yes,visual-yes,4,Does it have antennae?
-1,-17,bottle,bottle_1.wav,nomask,visual,yes,visual-yes,3,Does it have a lid?
-1,-16,zebra,zebra_3.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it travel in herds?
-1,-15,mouse,mouse_4.wav,nomask,visual,yes,visual-yes,1,Does it have a tail?
-1,-14,chicken,chicken_2.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it live in a coop?
-1,-13,chair,chair_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it used for sitting on?
-1,-12,pig,pig_4.wav,mask,visual,yes,visual-yes,5,Is it muddy?
-1,-11,deer,deer_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it an herbivore?
-1,-10,raccoon,raccoon_3.wav,nomask,visual,no,visual-no,5,Does it have a beak?
-1,-9,tiger,tiger_1.wav,mask,visual,yes,visual-yes,5,Does it have large teeth?
-1,-8,camel,camel_2.wav,mask,visual,yes,visual-yes,3,Does it have legs?
-1,-7,apple,apple_1.wav,mask,nonvisual,no,nonvisual-no,1,Is it an animal?
-1,-6,lion,lion_3.wav,mask,visual,yes,visual-yes,2,Does it have fur?
-1,-5,pineapple,pineapple_1.wav,mask,nonvisual,yes,nonvisual-yes,5,Is it prickly?
-1,-4,strawberry,strawberry_3.wav,mask,visual,no,visual-no,4,Does it have ears?
-1,-3,swan,swan_3.wav,nomask,visual,yes,visual-yes,3,Does it have feathers?
-1,-2,rabbit,rabbit_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it edible?
-1,-1,giraffe,giraffe_4.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it live in zoos?
0,0,zebra,zebra_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it run fast?
0,1,tiger,tiger_3.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,2,pig,pig_1.wav,nomask,visual,no,visual-no,2,Does it have wings?
0,3,rabbit,rabbit_4.wav,nomask,visual,no,visual-no,4,Is it flat?
0,4,pineapple,pineapple_1.wav,mask,nonvisual,yes,nonvisual-yes,5,Is it prickly?
0,5,chair,chair_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it furniture?
0,6,chicken,chicken_2.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it live in a coop?
0,7,camel,camel_4.wav,mask,nonvisual,no,nonvisual-no,2,Is it graceful?
0,8,strawberry,strawberry_3.wav,mask,visual,no,visual-no,4,Does it have ears?
0,9,chair,chair_4.wav,mask,nonvisual,no,nonvisual-no,2,Is it nutritious?
0,10,penguin,penguin_3.wav,mask,nonvisual,no,nonvisual-no,3,Is it an herbivore?
0,11,chicken,chicken_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it eat grain?
0,12,chair,chair_4.wav,mask,nonvisual,yes,nonvisual-yes,5,Is it found at tables?
0,13,camel,camel_4.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it spit?
0,14,tiger,tiger_3.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it live in India?
0,15,bottle,bottle_3.wav,mask,visual,yes,visual-yes,2,Is it made of plastic?
0,16,deer,deer_1.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it timid?
0,17,apple,apple_2.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it eaten in pies?
0,18,swan,swan_3.wav,nomask,visual,yes,visual-yes,3,Does it have feathers?
0,19,camel,camel_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it drink water?
0,20,chair,chair_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it used for relaxing?
0,21,bottle,bottle_3.wav,mask,visual,yes,visual-yes,5,Does it have a cork?
0,22,raccoon,raccoon_1.wav,nomask,visual,no,visual-no,4,Does it have a long neck?
0,23,grasshopper,grasshopper_3.wav,mask,visual,yes,visual-yes,4,Does it have antennae?
0,24,zebra,zebra_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,25,swan,swan_1.wav,mask,visual,yes,visual-yes,1,Does it have a long neck?
0,26,grasshopper,grasshopper_2.wav,nomask,visual,yes,visual-yes,3,Does it have long legs?
0,27,swan,swan_1.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live on water?
0,28,pig,pig_4.wav,mask,visual,yes,visual-yes,5,Is it muddy?
0,29,giraffe,giraffe_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it a mammal?
0,30,raccoon,raccoon_3.wav,nomask,nonvisual,no,nonvisual-no,4,Does it spit?
0,31,pineapple,pineapple_2.wav,mask,visual,yes,visual-yes,2,Does it have an inside?
0,32,penguin,penguin_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it unable to fly?
0,33,raccoon,raccoon_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Does it eat garbage?
0,34,zebra,zebra_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live in Africa?
0,35,strawberry,strawberry_1.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it taste good?
0,36,rabbit,rabbit_4.wav,mask,nonvisual,no,nonvisual-no,3,Does it roar?
0,37,mouse,mouse_3.wav,nomask,visual,yes,visual-yes,2,Is it grey?
0,38,lion,lion_1.wav,mask,visual,yes,visual-yes,4,Does it have teeth?
0,39,swan,swan_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it graceful?
0,40,strawberry,strawberry_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it taste sweet?
0,41,bottle,bottle_1.wav,mask,nonvisual,no,nonvisual-no,4,Does it fly?
0,42,apple,apple_4.wav,mask,visual,yes,visual-yes,5,Does it have a core?
0,43,camel,camel_2.wav,mask,visual,yes,visual-yes,4,Is it large?
0,44,tiger,tiger_1.wav,nomask,visual,no,visual-no,4,Is it yellow inside?
0,45,deer,deer_2.wav,mask,visual,yes,visual-yes,5,Does it have a white tail?
0,46,chicken,chicken_4.wav,mask,visual,no,visual-no,2,Is it yellow?
0,47,mouse,mouse_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a rodent?
0,48,zebra,zebra_4.wav,mask,visual,yes,visual-yes,1,Does it have stripes?
0,49,pineapple,pineapple_3.wav,nomask,visual,no,visual-no,3,Does it have whiskers?
0,50,rabbit,rabbit_3.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it a pet?
0,51,penguin,penguin_4.wav,nomask,visual,yes,visual-yes,4,Does it have wings?
0,52,lion,lion_3.wav,nomask,visual,yes,visual-yes,3,Does it have a tail?
0,53,rabbit,rabbit_3.wav,mask,visual,yes,visual-yes,3,Does it have whiskers?
0,54,deer,deer_3.wav,nomask,nonvisual,no,nonvisual-no,4,Does it eat people?
0,55,apple,apple_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it grow on trees?
0,56,pineapple,pineapple_2.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it juicy?
0,57,raccoon,raccoon_1.wav,mask,visual,yes,visual-yes,5,Does it have a mask?
0,58,tiger,tiger_1.wav,mask,visual,yes,visual-yes,2,Does it have teeth?
0,59,raccoon,raccoon_4.wav,nomask,visual,no,visual-no,3,Does it have green leaves?
0,60,mouse,mouse_1.wav,nomask,visual,yes,visual-yes,3,Does it have fur?
0,61,lion,lion_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,62,pineapple,pineapple_4.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it grow in Hawaii?
0,63,chair,chair_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it comfortable?
0,64,giraffe,giraffe_2.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it live in Africa?
0,65,deer,deer_1.wav,nomask,nonvisual,no,nonvisual-no,3,Is it loud?
0,66,mouse,mouse_2.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it eat?
0,67,bottle,bottle_1.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it used for holding beer?
0,68,chicken,chicken_3.wav,nomask,visual,no,visual-no,3,Does it have hooves?
0,69,deer,deer_2.wav,nomask,visual,yes,visual-yes,1,Does it have antlers?
0,70,penguin,penguin_1.wav,mask,nonvisual,no,nonvisual-no,4,Does it like mud?
0,71,pig,pig_2.wav,mask,visual,no,visual-no,3,Does it have whiskers?
0,72,grasshopper,grasshopper_4.wav,nomask,visual,yes,visual-yes,2,Does it have legs?
0,73,giraffe,giraffe_3.wav,mask,visual,yes,visual-yes,2,Is it tall?
1,74,penguin,penguin_1.wav,nomask,visual,yes,visual-yes,2,Does it have a beak?
1,75,camel,camel_3.wav,nomask,visual,yes,visual-yes,2,Is it brown?
1,76,zebra,zebra_3.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it travel in herds?
1,77,penguin,penguin_3.wav,nomask,visual,yes,visual-yes,3,Does it have feet?
1,78,tiger,tiger_3.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it live in zoos?
1,79,pineapple,pineapple_4.wav,mask,visual,yes,visual-yes,1,Is it yellow?
1,80,apple,apple_3.wav,mask,nonvisual,no,nonvisual-no,5,Is it used in experiments?
