cue,ftype,qid,question,truth_coded,count,truth_mean,truth_std,truth_min,truth_max,senses_mean,senses_std,senses_min,senses_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,truth_z,senses_z,difficulty_z,truth_normed,truth_agree
alligator,nonvisual,1,Is it an animal?,yes,9.0,1.6666666666666667,1.0,-1.0,2.0,2.888888888888889,1.6914819275153699,1.0,5.0,-1.8888888888888888,0.33333333333333276,-2.0,-1.0,1.116278980916236,0.8418088816794458,-1.087620948927362,yes,1.0
alligator,nonvisual,2,Is it a reptile?,yes,1.0,2.0,,2.0,2.0,1.0,,1.0,1.0,-1.0,,-1.0,-1.0,1.3328696970844216,-1.3760658988988486,0.5321049164752241,,
alligator,nonvisual,3,Does it live in swamps?,yes,1.0,0.0,,0.0,0.0,2.0,,2.0,2.0,1.0,,1.0,1.0,0.03332540007530694,-0.20189689741622208,4.176488113631043,,
alligator,nonvisual,4,Does it live in water?,yes,4.0,1.5,0.5773502691896257,1.0,2.0,2.5,1.2909944487358056,1.0,4.0,-1.25,0.9574271077563381,-2.0,0.0,1.007983622832143,0.3851876033250911,0.07655701683074671,yes,1.0
alligator,nonvisual,5,Does it eat people?,yes,1.0,0.0,,0.0,0.0,4.0,,4.0,4.0,-2.0,,-2.0,-2.0,0.03332540007530694,2.1464411055490307,-1.2900866821026855,,
alligator,visual,1,Is it green?,yes,3.0,1.3333333333333333,0.5773502691896258,1.0,2.0,2.0,1.7320508075688772,1.0,4.0,-1.0,1.0,-2.0,0.0,0.8996882647480501,-0.20189689741622208,0.5321049164752241,yes,1.0
alligator,visual,2,Is it long?,yes,3.0,1.3333333333333333,0.5773502691896258,1.0,2.0,3.3333333333333335,2.0816659994661326,1.0,5.0,-1.0,1.0,-2.0,0.0,0.8996882647480501,1.36366177122728,0.5321049164752241,yes,1.0
alligator,visual,3,Does it have scales?,yes,3.0,0.0,1.7320508075688772,-1.0,2.0,2.0,1.0,1.0,3.0,-0.6666666666666666,1.5275252316519468,-2.0,1.0,0.03332540007530694,-0.20189689741622208,1.139502116001194,,
alligator,visual,4,Does it have a tail?,yes,3.0,0.6666666666666666,1.5275252316519468,-1.0,2.0,1.0,0.0,1.0,1.0,-1.6666666666666667,0.5773502691896255,-2.0,-1.0,0.4665068324116785,-1.3760658988988486,-0.6826894825767157,,
alligator,visual,5,Does it have jaws?,yes,3.0,2.0,0.0,2.0,2.0,2.6666666666666665,2.081665999466133,1.0,5.0,-1.6666666666666667,0.5773502691896255,-2.0,-1.0,1.3328696970844216,0.5808824369055287,-0.6826894825767157,yes,1.0
