V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,room,subj_id,version,roomMan,codeMan,Q14,Q13,Q19,Q15_1,Q16_1,Q17,Q19,age,Q11,Q12,langs,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,room,subj_id,version,Room (to be filled in by experimenter),Subj id (to be filled in by experimenter),task_intro,strategy,problem_questions,prop_mask-Select a proportion (percentage) between 0 and 100 by dragging the slider.,prop_yes_resp-Select a proportion (percentage) between 0 and 100 by dragging the slider.,effect_of_mask,last_page,age,gender,native,other_lang,LocationLatitude,LocationLongitude,LocationAccuracy,
R_dce5OL6YHDDOn0p,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-08 12:20:05,2014-04-08 12:21:32,1,LL-Elaine,MWPF102,MWP-F1,,,1,Used quick decision making and hand eye coordination,Deer do live in zoos.,38,70,4,1,19,2,1,,43.076095581055,-89.410400390625,-1,
R_bC1kP4kVs2NfbSt,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-08 12:19:24,2014-04-08 12:22:14,1,LL-Jerry,MWPF101,MWP-F1,,,1,No strategy ,Maybe eating the rabbit because I have never come across that. Some people don't eat it well I don't and the answer is yes.,45,68,5,1,19,2,0,Spanish ,43.076095581055,-89.410400390625,-1,
R_3avh7TdflHGxBQh,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-08 12:21:01,2014-04-08 12:23:20,1,LL-George,MWPF103,MWP-F1,,,1,Not particularity ,"i thought an alligator was long, a table did not have to be round, i did not know if chickens ate grain, ",25,30,4,1,19,1,1,Spanish ,43.076095581055,-89.410400390625,-1,
R_cHfuhitSiwvg94F,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-08 12:39:45,2014-04-08 12:41:11,1,LL-Kramer,MWPF104,MWP-F1,,,1,Try to ignore the rectangle.,no.,30,84,5,1,22,1,0,Chinese,43.076095581055,-89.410400390625,-1,
R_agFR2r0BJDabesd,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-08 12:43:03,2014-04-08 12:45:20,1,LL-Jerry,MWPF105,MWP-F1,,,1,I didn't use any particular strategy.,,80,50,5,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_7VfDQMDx0mjbDRH,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-08 12:44:13,2014-04-08 12:45:50,1,LL-Elaine,MWPF106,MWP-F1,,,1,no,no,45,90,4,1,18,2,1,,43.076095581055,-89.410400390625,-1,
R_1Bp2eAsPuw2kDBz,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-08 13:11:16,2014-04-08 13:12:30,1,LL-George,MWPF107,MWP-F1,,,1,,"No, but pineapples actually grow on bushes.",87,70,4,1,20,2,1,,43.076095581055,-89.410400390625,-1,
R_6LSTN8AyEYLbzDv,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-08 13:14:28,2014-04-08 13:17:18,1,LL-Elaine,MWPF108,MWP-F1,,,1,"I tried to imagine the spoken object in my head before the question appeared, when I did this I was less likely to get the question wrong.","The leg ones were more difficult because I often saw the word ""legs"" and pressed my answer before I noticed the number before it. ",40,80,4,1,19,2,1,,43.076095581055,-89.410400390625,-1,
R_8DlNqNhB1oi3eWF,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-08 13:41:52,2014-04-08 13:44:42,1,LL-George,MWPF109,MWP-F1,,,1,"A lot of the questions were the same but applied to different words, I tried to remember what the questions were so that I didn't have to read through the whole thing if it came up again",I just got a few wrong because I wasn't thinking or I reacted too quickly and pressed the wrong button,50,91,4,1,19,2,1,Italian,43.076095581055,-89.410400390625,-1,
