proposition_id,difficulty_count,difficulty_mean,facts_count,facts_mean,imagery_count,imagery_mean,senses_count,senses_mean,truth_count,truth_mean,difficulty_z,facts_z,imagery_z,truth_z,senses_z,question,cue,question_slug,correct_response,feat_type,prop_visual
does-it-bark:dog,15.0,-1.4,12.0,1.33333333333,12.0,1.41666666667,3.0,1.0,15.0,1.4,-0.018203727739,0.476797627851,-0.0175635496584,0.958517390986,-1.37747650511,Does it bark?,dog,does-it-bark,yes,nonvisual,0.642857142857
does-it-chase-cats:dog,8.0,-1.125,5.0,1.2,5.0,1.4,3.0,2.0,8.0,0.875,0.691056443505,0.272611407388,-0.0437802426203,0.609434003474,-0.202770770223,Does it chase cats?,dog,does-it-chase-cats,yes,nonvisual,0.642857142857
does-it-have-a-caboose:dog,11.0,-1.18181818182,8.0,1.0,8.0,0.75,3.0,1.66666666667,11.0,-1.63636363636,0.54451508581,-0.033667923306,-1.06623126814,-1.0604237593,-0.594339348518,Does it have a caboose?,dog,does-it-have-a-caboose,no,visual,0.642857142857
does-it-have-a-mask:dog,13.0,-1.61538461538,6.0,0.666666666667,6.0,0.833333333333,7.0,1.28571428571,13.0,-1.61538461538,-0.573708197524,-0.544133474463,-0.935147803326,-1.04647437318,-1.04184629514,Does it have a mask?,dog,does-it-have-a-mask,no,visual,0.642857142857
does-it-have-a-nose:dog,7.0,-1.85714285714,4.0,0.0,4.0,1.25,3.0,2.0,7.0,1.85714285714,-1.19723362279,-1.56506457678,-0.279730479278,1.26248115698,-0.202770770223,Does it have a nose?,dog,does-it-have-a-nose,yes,visual,0.642857142857
does-it-have-a-tail:dog,14.0,-1.64285714286,7.0,1.28571428571,7.0,2.0,7.0,1.14285714286,14.0,1.57142857143,-0.644563359487,0.403873977686,0.900020704009,1.07250380323,-1.20966140012,Does it have a tail?,dog,does-it-have-a-tail,yes,visual,0.642857142857
does-it-have-a-top:dog,8.0,-0.5,4.0,1.25,4.0,1.5,4.0,2.0,8.0,0.125,2.30301137815,0.349181240062,0.113519915151,0.110743449886,-0.202770770223,Does it have a top?,dog,does-it-have-a-top,yes,visual,0.642857142857
does-it-have-antlers:dog,8.0,-1.25,4.0,0.0,4.0,1.75,4.0,1.75,8.0,-1.875,0.368665456576,-1.56506457678,0.50677030958,-1.21909802635,-0.496447203944,Does it have antlers?,dog,does-it-have-antlers,no,visual,0.642857142857
does-it-have-four-legs:dog,10.0,-1.9,4.0,1.0,4.0,1.25,6.0,1.16666666667,10.0,1.7,-1.30776767545,-0.033667923306,-0.279730479278,1.15799361242,-1.18169221596,Does it have four legs?,dog,does-it-have-four-legs,yes,visual,0.642857142857
does-it-have-hair:dog,10.0,-1.8,5.0,1.0,5.0,2.0,5.0,2.4,10.0,1.4,-1.04985488591,-0.033667923306,0.900020704009,0.958517390986,0.26711152373,Does it have hair?,dog,does-it-have-hair,yes,visual,0.642857142857
does-it-have-legs:dog,10.0,-2.0,5.0,0.8,5.0,1.4,5.0,1.6,10.0,1.9,-1.565680465,-0.339947254,-0.0437802426203,1.29097776004,-0.672653064177,Does it have legs?,dog,does-it-have-legs,yes,visual,0.642857142857
does-it-hop:dog,10.0,-1.1,5.0,1.2,5.0,1.8,5.0,1.8,10.0,-1.0,0.75553464089,0.272611407388,0.585420388466,-0.637292380496,-0.4377119172,Does it hop?,dog,does-it-hop,no,nonvisual,0.642857142857
does-it-lay-eggs:dog,8.0,-1.75,6.0,0.0,6.0,1.0,2.0,3.5,8.0,-1.625,-0.92089849114,-1.56506457678,-0.672980873707,-1.05286784182,1.5592878321,Does it lay eggs?,dog,does-it-lay-eggs,no,nonvisual,0.642857142857
is-it-a-pet:dog,7.0,-1.85714285714,6.0,0.0,6.0,0.666666666667,1.0,1.0,7.0,1.57142857143,-1.19723362279,-1.56506457678,-1.19731473295,1.07250380323,-1.37747650511,Is it a pet?,dog,is-it-a-pet,yes,nonvisual,0.642857142857
is-it-an-animal:dog,9.0,-1.88888888889,7.0,1.57142857143,7.0,1.42857142857,2.0,1.0,9.0,2.0,-1.27911069884,0.841415878678,0.00116265960016,1.35746983386,-1.37747650511,Is it an animal?,dog,is-it-an-animal,yes,nonvisual,0.642857142857
is-it-eaten-as-bacon:dog,8.0,-1.875,3.0,0.0,3.0,0.333333333333,5.0,3.0,8.0,-2.0,-1.24328947807,-1.56506457678,-1.72164859218,-1.30221311861,0.97193496466,Is it eaten as bacon?,dog,is-it-eaten-as-bacon,no,nonvisual,0.642857142857
