"proposition_id","agreement"
"does-it-bark:dog","agree"
"does-it-bark:toad","agree"
"does-it-chase-cats:dog","agree"
"does-it-chase-cats:donkey","agree"
"does-it-drink-water:camel","agree"
"does-it-eat-carrots:rabbit","agree"
"does-it-eat-cheese:lion","agree"
"does-it-eat-cheese:mouse","agree"
"does-it-eat-garbage:raccoon","agree"
"does-it-eat-garbage:zebra","agree"
"does-it-eat-grain:chicken","agree"
"does-it-eat-grain:penguin","agree"
"does-it-eat-insects:toad","agree"
"does-it-eat-leaves:giraffe","agree"
"does-it-eat-leaves:jacket","agree"
"does-it-eat-peanuts:donkey","ambiguous"
"does-it-eat-peanuts:elephant","agree"
"does-it-eat-people:alligator","ambiguous"
"does-it-eat-people:deer","agree"
"does-it-eat:camel","agree"
"does-it-eat:mouse","agree"
"does-it-eat:strawberry","ambiguous"
"does-it-eat:toad","agree"
"does-it-fly:bottle","agree"
"does-it-fly:grasshopper","ambiguous"
"does-it-grow-in-hawaii:pig","ambiguous"
"does-it-grow-in-hawaii:pineapple","agree"
"does-it-grow-in-hawaii:table","agree"
"does-it-grow-in-tropical-climates:banana","agree"
"does-it-grow-in-tropical-climates:train","agree"
"does-it-grow-on-trees:apple","agree"
"does-it-grow-on-trees:donkey","agree"
"does-it-grow-on-trees:pig","agree"
"does-it-grow-on-trees:pineapple","ambiguous"
"does-it-grow-on-trees:swan","agree"
"does-it-grow-underground:carrot","agree"
"does-it-grow-underground:tiger","agree"
"does-it-have-a-beak:apple","agree"
"does-it-have-a-beak:banana","agree"
"does-it-have-a-beak:chicken","agree"
"does-it-have-a-beak:penguin","agree"
"does-it-have-a-beak:raccoon","agree"
"does-it-have-a-beak:swan","agree"
"does-it-have-a-beak:train","agree"
"does-it-have-a-caboose:dog","agree"
"does-it-have-a-caboose:train","ambiguous"
"does-it-have-a-core:apple","agree"
"does-it-have-a-core:pineapple","agree"
"does-it-have-a-cork:bottle","agree"
"does-it-have-a-cork:camel","agree"
"does-it-have-a-cushion:chair","ambiguous"
"does-it-have-a-cushion:deer","agree"
"does-it-have-a-hood:apple","agree"
"does-it-have-a-hood:jacket","ambiguous"
"does-it-have-a-hump:camel","agree"
"does-it-have-a-hump:swan","agree"
"does-it-have-a-lid:bottle","ambiguous"
"does-it-have-a-lid:deer","agree"
"does-it-have-a-long-neck:lion","agree"
"does-it-have-a-long-neck:raccoon","agree"
"does-it-have-a-long-neck:swan","agree"
"does-it-have-a-long-tongue:alligator","ambiguous"
"does-it-have-a-long-tongue:toad","agree"
"does-it-have-a-mane:lion","ambiguous"
"does-it-have-a-mane:raccoon","agree"
"does-it-have-a-mane:strawberry","agree"
"does-it-have-a-mane:zebra","agree"
"does-it-have-a-mask:dog","agree"
"does-it-have-a-mask:raccoon","ambiguous"
"does-it-have-a-neck:bottle","agree"
"does-it-have-a-neck:table","agree"
"does-it-have-a-nose:dog","agree"
"does-it-have-a-nose:table","agree"
"does-it-have-a-peel:banana","agree"
"does-it-have-a-peel:toad","agree"
"does-it-have-a-pointed-end:carrot","agree"
"does-it-have-a-pointed-end:donkey","agree"
"does-it-have-a-seat:bike","agree"
"does-it-have-a-seat:chair","agree"
"does-it-have-a-seat:pineapple","agree"
"does-it-have-a-seat:rabbit","agree"
"does-it-have-a-skin:banana","agree"
"does-it-have-a-skin:table","agree"
"does-it-have-a-snout:chair","agree"
"does-it-have-a-snout:pig","agree"
"does-it-have-a-tail:alligator","ambiguous"
"does-it-have-a-tail:banana","agree"
"does-it-have-a-tail:chair","agree"
"does-it-have-a-tail:dog","agree"
"does-it-have-a-tail:donkey","agree"
"does-it-have-a-tail:elephant","agree"
"does-it-have-a-tail:lion","agree"
"does-it-have-a-tail:mouse","agree"
"does-it-have-a-tail:penguin","ambiguous"
"does-it-have-a-tail:pig","agree"
"does-it-have-a-tail:pineapple","agree"
"does-it-have-a-tail:rabbit","agree"
"does-it-have-a-tail:raccoon","agree"
"does-it-have-a-tail:strawberry","agree"
"does-it-have-a-tail:swan","ambiguous"
"does-it-have-a-tail:table","agree"
"does-it-have-a-tail:toad","agree"
"does-it-have-a-top:carrot","agree"
"does-it-have-a-top:dog","ambiguous"
"does-it-have-a-white-tail:deer","agree"
"does-it-have-a-white-tail:mouse","ambiguous"
"does-it-have-a-zipper:jacket","agree"
"does-it-have-a-zipper:train","agree"
"does-it-have-an-engine:grasshopper","agree"
"does-it-have-an-engine:train","agree"
"does-it-have-an-inside:pineapple","agree"
"does-it-have-antennae:giraffe","agree"
"does-it-have-antennae:grasshopper","ambiguous"
"does-it-have-antennae:zebra","agree"
"does-it-have-antlers:deer","ambiguous"
"does-it-have-antlers:dog","agree"
"does-it-have-armrests:bottle","agree"
"does-it-have-armrests:chair","ambiguous"
"does-it-have-different-speeds:banana","agree"
"does-it-have-different-speeds:bike","agree"
"does-it-have-ears:elephant","agree"
"does-it-have-ears:jacket","agree"
"does-it-have-ears:rabbit","agree"
"does-it-have-ears:strawberry","agree"
"does-it-have-eyes:apple","agree"
"does-it-have-eyes:bottle","agree"
"does-it-have-eyes:deer","agree"
"does-it-have-eyes:raccoon","agree"
"does-it-have-feathers:banana","agree"
"does-it-have-feathers:chicken","agree"
"does-it-have-feathers:pig","agree"
"does-it-have-feathers:swan","agree"
"does-it-have-feet:bike","agree"
"does-it-have-feet:bottle","agree"
"does-it-have-feet:penguin","agree"
"does-it-have-feet:rabbit","agree"
"does-it-have-four-legs:carrot","agree"
"does-it-have-four-legs:chicken","agree"
"does-it-have-four-legs:deer","agree"
"does-it-have-four-legs:dog","agree"
"does-it-have-four-legs:donkey","agree"
"does-it-have-four-legs:elephant","agree"
"does-it-have-four-legs:penguin","agree"
"does-it-have-four-legs:strawberry","agree"
"does-it-have-four-legs:swan","agree"
"does-it-have-four-legs:zebra","agree"
"does-it-have-fur:elephant","agree"
"does-it-have-fur:lion","agree"
"does-it-have-fur:mouse","agree"
"does-it-have-fur:pig","ambiguous"
"does-it-have-gears:bike","agree"
"does-it-have-gears:mouse","agree"
"does-it-have-green-leaves:camel","agree"
"does-it-have-green-leaves:raccoon","agree"
"does-it-have-green-leaves:strawberry","ambiguous"
"does-it-have-hair:dog","agree"
"does-it-have-hair:jacket","agree"
"does-it-have-handle-bars:bike","agree"
"does-it-have-handle-bars:toad","agree"
"does-it-have-hooves:banana","agree"
"does-it-have-hooves:chicken","agree"
"does-it-have-hooves:deer","agree"
"does-it-have-hooves:donkey","agree"
"does-it-have-hooves:elephant","agree"
"does-it-have-hooves:zebra","agree"
"does-it-have-jaws:alligator","agree"
"does-it-have-jaws:zebra","ambiguous"
