block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-17,elephant,elephant_2.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it live in Africa?
-1,-16,zebra,zebra_2.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
-1,-15,dog,dog_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it used for protection?
-1,-14,grasshopper,grasshopper_1.wav,mask,nonvisual,no,nonvisual-no,2,Is it hunted by people?
-1,-13,strawberry,strawberry_3.wav,nomask,nonvisual,no,nonvisual-no,4,Does it eat?
-1,-12,swan,swan_4.wav,mask,visual,yes,visual-yes,2,Does it have a beak?
-1,-11,rabbit,rabbit_4.wav,nomask,visual,yes,visual-yes,4,Does it have a tail?
-1,-10,pineapple,pineapple_2.wav,nomask,visual,no,visual-no,2,Does it have a seat?
-1,-9,penguin,penguin_3.wav,nomask,visual,yes,visual-yes,2,Does it have a beak?
-1,-8,bottle,bottle_3.wav,mask,visual,no,visual-no,1,Does it have feet?
-1,-7,tiger,tiger_3.wav,mask,nonvisual,no,nonvisual-no,3,Does it grow underground?
-1,-6,giraffe,giraffe_2.wav,mask,visual,yes,visual-yes,4,Is it brown?
-1,-5,alligator,alligator_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
-1,-4,camel,camel_4.wav,mask,visual,yes,visual-yes,3,Does it have legs?
-1,-3,lion,lion_1.wav,nomask,nonvisual,no,nonvisual-no,3,Does it waddle?
-1,-2,raccoon,raccoon_1.wav,mask,visual,yes,visual-yes,1,Is it black?
-1,-1,table,table_3.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it found in kitchens?
0,0,elephant,elephant_2.wav,nomask,visual,yes,visual-yes,4,Does it have a tail?
0,1,table,table_1.wav,mask,nonvisual,no,nonvisual-no,4,Does it grow in Hawaii?
0,2,lion,lion_1.wav,mask,visual,yes,visual-yes,3,Does it have a tail?
0,3,grasshopper,grasshopper_1.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it fly?
0,4,bottle,bottle_4.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it used for holding things?
0,5,tiger,tiger_3.wav,mask,nonvisual,no,nonvisual-no,3,Does it grow underground?
0,6,bottle,bottle_4.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it used for holding liquids?
0,7,camel,camel_1.wav,nomask,visual,yes,visual-yes,2,Is it brown?
0,8,pineapple,pineapple_2.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it prickly?
0,9,alligator,alligator_1.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it live in water?
0,10,penguin,penguin_4.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it unable to fly?
0,11,giraffe,giraffe_4.wav,mask,visual,no,visual-no,2,Does it have warts?
0,12,tiger,tiger_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it live in Africa?
0,13,penguin,penguin_4.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it waddle?
0,14,strawberry,strawberry_1.wav,mask,visual,yes,visual-yes,2,Does it have seeds?
0,15,lion,lion_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it roar?
0,16,grasshopper,grasshopper_1.wav,mask,nonvisual,no,nonvisual-no,2,Is it hunted by people?
0,17,elephant,elephant_4.wav,mask,visual,yes,visual-yes,5,Does it have large ears?
0,18,alligator,alligator_3.wav,nomask,nonvisual,no,nonvisual-no,5,Is it a pet?
0,19,giraffe,giraffe_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live in zoos?
0,20,strawberry,strawberry_3.wav,mask,visual,no,visual-no,4,Does it have ears?
0,21,dog,dog_3.wav,mask,visual,no,visual-no,1,Does it have antlers?
0,22,table,table_4.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it found in dining rooms?
0,23,alligator,alligator_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,24,pineapple,pineapple_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it juicy?
0,25,grasshopper,grasshopper_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it found in summer?
0,26,swan,swan_3.wav,mask,visual,no,visual-no,4,Is it made of wood?
