"proposition_id","estimate","std.error","statistic","p.value","agreement","norm_response","difficulty_count","difficulty_mean","facts_count","facts_mean","imagery_count","imagery_mean","senses_count","senses_mean","truth_count","truth_mean","difficulty_z","facts_z","imagery_z","truth_z","senses_z","question","cue","question_slug","correct_response","feat_type","prop_visual"
"does-it-eat-peanuts:donkey",4.19624860425158e-17,0.308606699924184,1.35973995551052e-16,1,"ambiguous",NA,7,-0.571428571429,3,1.33333333333,3,1.33333333333,4,3,7,0,2.11878795705,0.476797627851,-0.148647014468,0.0276283576213,0.97193496466,"Does it eat peanuts?","donkey","does-it-eat-peanuts","no","nonvisual",0.5
"does-it-eat-people:alligator",1,0.447213595499958,2.23606797749979,0.0755868184216124,"ambiguous",NA,6,-1.33333333333,5,3,5,2.4,1,4,6,1,0.153738131956,3.02912538364,1.5292213351,0.692549095739,2.14664069954,"Does it eat people?","alligator","does-it-eat-people","yes","nonvisual",0.571428571429
"does-it-eat:strawberry",-0.714285714285714,0.644178536117556,-1.10883190643186,0.309958735506241,"ambiguous",NA,7,-1.71428571429,4,0.25,4,1.75,3,2,7,-0.714285714286,-0.828786780589,-1.18221541341,0.50677030958,-0.447315026748,-0.202770770223,"Does it eat?","strawberry","does-it-eat","no","nonvisual",0.125
"does-it-fly:grasshopper",-0.461538461538462,0.312463015562922,-1.47709789175199,0.165406705523018,"ambiguous",NA,13,-0.307692307692,7,1.57142857143,7,1.71428571429,6,2,13,-0.461538461538,2.79899751189,0.841415878678,0.450591681805,-0.279258136895,-0.202770770223,"Does it fly?","grasshopper","does-it-fly","no","nonvisual",0.666666666667
"does-it-grow-in-hawaii:pig",-0.111111111111111,0.587944735792131,-0.188982236504614,0.854813088248742,"ambiguous",NA,9,-0.777777777778,5,1.8,5,1,4,4.25,9,-0.111111111111,1.58658696275,1.19144939947,-0.672980873707,-0.0462517243918,2.44031713326,"Does it grow in Hawaii?","pig","does-it-grow-in-hawaii","no","nonvisual",0.578947368421
"does-it-grow-on-trees:pineapple",0.333333333333333,0.552770798392567,0.603022689155527,0.563194264363712,"ambiguous",NA,9,-1.11111111111,4,2.25,4,1.25,5,2,9,0.333333333333,0.726877664274,1.88057789353,-0.279730479278,0.249268603661,-0.202770770223,"Does it grow on trees?","pineapple","does-it-grow-on-trees","yes","nonvisual",0.3125
"does-it-have-a-caboose:train",0.625,0.323899234771733,1.9296124624699,0.0949764924357751,"ambiguous",NA,8,-1.25,5,1.4,5,1.8,3,1.33333333333,8,0.625,0.368665456576,0.578890738083,0.585420388466,0.443203818945,-0.985907926812,"Does it have a caboose?","train","does-it-have-a-caboose","yes","visual",0.466666666667
"does-it-have-a-cushion:chair",0.3,0.213437474581095,1.40556385699745,0.193422059603332,"ambiguous",NA,10,-1.2,4,0.75,4,2,6,2.16666666667,10,0.3,0.497621851347,-0.416517086674,0.900020704009,0.227104579057,-0.00698648107616,"Does it have a cushion?","chair","does-it-have-a-cushion","yes","visual",0.466666666667
"does-it-have-a-hood:jacket",0.25,0.130558241966773,1.91485421551268,0.0818642311656943,"ambiguous",NA,12,-0.916666666667,4,0.25,4,1.75,8,1.875,12,0.25,1.22837475505,-1.18221541341,0.50677030958,0.193858542151,-0.349608987084,"Does it have a hood?","jacket","does-it-have-a-hood","yes","visual",0.428571428571
"does-it-have-a-lid:bottle",0.181818181818182,0.325246251272697,0.559016994374948,0.588449338315948,"ambiguous",NA,11,-1.27272727273,4,0.25,4,2.5,7,1.71428571429,11,0.181818181818,0.310048913498,-1.18221541341,1.68652149287,0.148523037279,-0.53840098019,"Does it have a lid?","bottle","does-it-have-a-lid","yes","visual",0.357142857143
"does-it-have-a-long-tongue:alligator",-0.0714285714285714,0.286400275382904,-0.249401196744921,0.806947764108344,"ambiguous",NA,14,-0.142857142857,4,1.75,4,2.5,10,2.8,14,-0.0714285714286,3.22412848366,1.1148795668,1.68652149287,-0.0198659808157,0.736993817683,"Does it have a long tongue?","alligator","does-it-have-a-long-tongue","yes","visual",0.571428571429
