subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
MWPR146,146,2016_Jan_29_1307,LL-Kramer,0,practice,0,does-it-have-a-pointed-end:carrot,visual,Does it have a pointed end?,carrot,carrot_4.wav,nomask,yes,yes,819.991421653,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,0,practice,1,does-it-have-a-tail:alligator,visual,Does it have a tail?,alligator,alligator_3.wav,nomask,yes,yes,634.072416724,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,0,practice,2,does-it-have-a-hood:jacket,visual,Does it have a hood?,jacket,jacket_2.wav,mask,yes,yes,310.930368025,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,0,practice,3,does-it-have-seeds:strawberry,visual,Does it have seeds?,strawberry,strawberry_2.wav,nomask,yes,yes,236.895273585,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,0,practice,4,is-it-a-root:carrot,nonvisual,Is it a root?,carrot,carrot_3.wav,nomask,yes,yes,531.849404942,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,0,practice,5,does-it-have-a-hump:swan,visual,Does it have a hump?,swan,swan_3.wav,mask,no,no,767.99503222,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,0,practice,6,is-it-an-animal:pig,nonvisual,Is it an animal?,pig,pig_3.wav,nomask,yes,yes,172.05310901,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,0,practice,7,is-it-brown:carrot,visual,Is it brown?,carrot,carrot_2.wav,nomask,no,no,927.253260103,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,9,does-it-have-a-tail:table,visual,Does it have a tail?,table,table_1.wav,nomask,no,no,197.726414306,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,10,does-it-make-noises:donkey,nonvisual,Does it make noises?,donkey,donkey_1.wav,nomask,yes,yes,50.9759485722,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,11,does-it-have-four-legs:dog,visual,Does it have four legs?,dog,dog_3.wav,mask,yes,no,78.1101359171,0
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,12,does-it-live-in-the-desert:camel,nonvisual,Does it live in the desert?,camel,camel_2.wav,nomask,yes,yes,860.438712727,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,13,does-it-have-long-legs:giraffe,visual,Does it have long legs?,giraffe,giraffe_1.wav,nomask,yes,yes,218.395462434,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,14,does-it-have-many-cars:train,visual,Does it have many cars?,train,train_4.wav,nomask,yes,yes,608.294122532,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,15,is-it-grey:mouse,visual,Is it grey?,mouse,mouse_4.wav,nomask,yes,yes,498.59545345,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,16,does-it-have-feet:penguin,visual,Does it have feet?,penguin,penguin_1.wav,nomask,yes,yes,411.458193295,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,17,does-it-have-four-legs:chicken,visual,Does it have four legs?,chicken,chicken_4.wav,mask,no,yes,561.318634893,0
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,18,does-it-waddle:penguin,nonvisual,Does it waddle?,penguin,penguin_3.wav,nomask,yes,yes,124.114796403,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,19,is-it-used-for-protection:raccoon,nonvisual,Is it used for protection?,raccoon,raccoon_2.wav,mask,no,no,370.799644035,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,20,is-it-small:strawberry,visual,Is it small?,strawberry,strawberry_2.wav,nomask,yes,yes,406.8172361,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,21,does-it-bark:toad,nonvisual,Does it bark?,toad,toad_4.wav,nomask,no,no,609.667940618,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,22,is-it-used-by-riding:camel,nonvisual,Is it used by riding?,camel,camel_1.wav,nomask,yes,yes,487.028750329,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,23,does-it-have-a-long-tongue:toad,visual,Does it have a long tongue?,toad,toad_2.wav,mask,yes,yes,490.203063877,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,24,is-it-brown:camel,visual,Is it brown?,camel,camel_2.wav,nomask,yes,yes,369.167514902,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,25,is-it-worn-in-cold-temperatures:jacket,nonvisual,Is it worn in cold temperatures?,jacket,jacket_3.wav,mask,yes,yes,222.672479489,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,26,does-it-eat-leaves:giraffe,nonvisual,Does it eat leaves?,giraffe,giraffe_4.wav,nomask,yes,yes,1571.26057093,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,27,does-it-have-a-mask:dog,visual,Does it have a mask?,dog,dog_3.wav,nomask,no,no,410.258183052,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,28,is-it-juicy:bottle,nonvisual,Is it juicy?,bottle,bottle_4.wav,nomask,no,no,978.537773597,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,29,is-it-eaten-by-frying:chicken,nonvisual,Is it eaten by frying?,chicken,chicken_4.wav,mask,yes,yes,277.748436376,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,30,does-it-live-in-india:tiger,nonvisual,Does it live in India?,tiger,tiger_1.wav,nomask,yes,yes,420.999699127,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,31,does-it-have-ears:elephant,visual,Does it have ears?,elephant,elephant_4.wav,mask,yes,yes,142.495854874,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,32,is-it-timid:deer,nonvisual,Is it timid?,deer,deer_4.wav,mask,yes,yes,428.484318894,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,33,is-it-used-in-circuses:chair,nonvisual,Is it used in circuses?,chair,chair_1.wav,nomask,yes,yes,1370.72314302,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,34,does-it-have-legs:dog,visual,Does it have legs?,dog,dog_1.wav,mask,yes,yes,176.288194518,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,35,is-it-used-for-making-jam:strawberry,nonvisual,Is it used for making jam?,strawberry,strawberry_1.wav,mask,yes,yes,239.165018196,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,36,does-it-roar:lion,nonvisual,Does it roar?,lion,lion_3.wav,mask,yes,yes,60.4313506919,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,37,is-it-juicy:pineapple,nonvisual,Is it juicy?,pineapple,pineapple_3.wav,mask,yes,yes,1109.98098677,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,38,is-it-made-of-wood:table,visual,Is it made of wood?,table,table_4.wav,nomask,yes,yes,601.198729884,1
MWPR146,146,2016_Jan_29_1307,LL-Kramer,1,test,39,does-it-have-a-peel:banana,visual,Does it have a peel?,banana,banana_3.wav,nomask,yes,yes,386.291587434,1
