"proposition_id","baseline_difficulty"
"does-it-eat-cheese:lion","too_hard"
"does-it-eat-grain:penguin","too_hard"
"does-it-eat-insects:toad","too_hard"
"does-it-eat-peanuts:donkey","too_hard"
"does-it-eat:toad","too_hard"
"does-it-fly:grasshopper","too_hard"
"does-it-grow-on-trees:pineapple","too_hard"
"does-it-grow-underground:carrot","too_hard"
"does-it-have-a-beak:train","too_hard"
"does-it-have-a-cork:bottle","too_hard"
"does-it-have-a-hood:apple","too_hard"
"does-it-have-a-hood:jacket","too_hard"
"does-it-have-a-lid:deer","too_hard"
"does-it-have-a-long-neck:lion","too_hard"
"does-it-have-a-long-tongue:alligator","too_hard"
"does-it-have-a-long-tongue:toad","too_hard"
"does-it-have-a-mane:raccoon","too_hard"
"does-it-have-a-mask:raccoon","too_hard"
"does-it-have-a-seat:bike","too_hard"
"does-it-have-a-tail:penguin","too_hard"
"does-it-have-a-tail:swan","too_hard"
"does-it-have-a-tail:toad","too_hard"
"does-it-have-a-top:carrot","too_hard"
"does-it-have-a-top:dog","too_hard"
"does-it-have-a-white-tail:mouse","too_hard"
"does-it-have-antennae:giraffe","too_hard"
"does-it-have-feathers:pig","too_hard"
"does-it-have-four-legs:chicken","too_hard"
"does-it-have-four-legs:penguin","too_hard"
"does-it-have-fur:elephant","too_hard"
"does-it-have-gears:mouse","too_hard"
"does-it-have-green-leaves:camel","too_hard"
"does-it-have-jaws:zebra","too_hard"
"does-it-have-large-ears:tiger","too_hard"
"does-it-have-large-teeth:deer","too_hard"
"does-it-have-legs:bike","too_hard"
"does-it-have-long-legs:grasshopper","too_hard"
"does-it-have-long-legs:lion","too_hard"
"does-it-have-seeds:bottle","too_hard"
"does-it-have-seeds:raccoon","too_hard"
"does-it-have-skin:pineapple","too_hard"
"does-it-have-spots:rabbit","too_hard"
"does-it-have-teeth:grasshopper","too_hard"
"does-it-have-warts:tiger","too_hard"
"does-it-have-whiskers:camel","too_hard"
"does-it-have-whiskers:pig","too_hard"
"does-it-hop:dog","too_hard"
"does-it-hop:raccoon","too_hard"
"does-it-hop:toad","too_hard"
"does-it-lay-eggs:penguin","too_hard"
"does-it-live-in-a-coop:camel","too_hard"
"does-it-live-in-grass:giraffe","too_hard"
"does-it-live-in-india:pig","too_hard"
"does-it-live-in-jungles:zebra","too_hard"
"does-it-live-in-swamps:carrot","too_hard"
"does-it-live-in-water:zebra","too_hard"
"does-it-live-in-zoos:deer","too_hard"
"does-it-live-in-zoos:mouse","too_hard"
"does-it-live-in-zoos:rabbit","too_hard"
"does-it-live-on-a-farm:camel","too_hard"
"does-it-make-noises:rabbit","too_hard"
"does-it-run-fast:toad","too_hard"
"does-it-spit:raccoon","too_hard"
"does-it-travel-in-herds:swan","too_hard"
"is-it-a-carnivore:bottle","too_hard"
"is-it-a-carnivore:pineapple","too_hard"
"is-it-a-mammal:alligator","too_hard"
"is-it-a-mammal:chicken","too_hard"
"is-it-a-mammal:table","too_hard"
"is-it-a-pet:pineapple","too_hard"
"is-it-a-rodent:elephant","too_hard"
"is-it-an-animal:jacket","too_hard"
"is-it-an-herbivore:penguin","too_hard"
"is-it-beige:elephant","too_hard"
"is-it-breakable:penguin","too_hard"
"is-it-brown:tiger","too_hard"
"is-it-edible:rabbit","too_hard"
"is-it-flat:rabbit","too_hard"
"is-it-found-in-summer:alligator","too_hard"
"is-it-furry:elephant","too_hard"
"is-it-graceful:camel","too_hard"
"is-it-green:jacket","too_hard"
"is-it-green:train","too_hard"
"is-it-grey:alligator","too_hard"
"is-it-hunted-by-people:giraffe","too_hard"
"is-it-hunted-by-people:mouse","too_hard"
"is-it-long:banana","too_hard"
"is-it-long:carrot","too_hard"
"is-it-long:chair","too_hard"
"is-it-long:grasshopper","too_hard"
"is-it-made-of-glass:pig","too_hard"
"is-it-nocturnal:bike","too_hard"
"is-it-orange:chicken","too_hard"
"is-it-round:alligator","too_hard"
"is-it-round:table","too_hard"
"is-it-smelly:deer","too_hard"
"is-it-unable-to-fly:grasshopper","too_hard"
"is-it-used-for-freight:alligator","too_hard"
"is-it-used-for-freight:train","too_hard"
"is-it-used-for-protection:dog","too_hard"
"is-it-used-in-circuses:chair","too_hard"
"is-it-used-in-experiments:apple","too_hard"
"is-it-worn-in-winter:tiger","too_hard"
"is-it-yellow-inside:lion","too_hard"
"is-it-yellow-inside:tiger","too_hard"
"is-it-yellow:chicken","too_hard"
"is-it-yellow:deer","too_hard"
